경기날짜,요일,홈,방문,구장,경기시작,관중수
2022-04-02,토,두산,한화,잠실,14:00,16271
2022-04-03,일,두산,한화,잠실,14:00,11345
2022-04-05,화,두산,삼성,잠실,18:30,4109
2022-04-06,수,두산,삼성,잠실,18:30,4161
2022-04-07,목,두산,삼성,잠실,18:30,4055
2022-04-08,금,LG,NC,잠실,18:30,10623
2022-04-09,토,LG,NC,잠실,17:00,14328
2022-04-10,일,LG,NC,잠실,14:00,13095
2022-04-12,화,LG,SSG,잠실,18:30,6028
2022-04-13,수,LG,SSG,잠실,18:30,4547
2022-04-14,목,LG,SSG,잠실,18:30,6500
2022-04-15,금,두산,키움,잠실,18:30,4423
2022-04-16,토,두산,키움,잠실,17:00,9737
2022-04-17,일,두산,키움,잠실,14:00,8762
2022-04-19,화,LG,KT,잠실,18:30,4537
2022-04-20,수,LG,KT,잠실,18:30,4595
2022-04-21,목,LG,KT,잠실,18:30,4410
2022-04-22,금,두산,LG,잠실,18:30,8472
2022-04-23,토,두산,LG,잠실,17:00,17799
2022-04-24,일,두산,LG,잠실,14:00,14848
2022-04-26,화,두산,NC,잠실,18:30,3644
2022-04-27,수,두산,NC,잠실,18:30,3450
2022-04-28,목,두산,NC,잠실,18:30,5223
2022-04-29,금,LG,롯데,잠실,18:30,15681
2022-04-30,토,LG,롯데,잠실,17:00,23018
2022-05-01,일,LG,롯데,잠실,14:00,20513
2022-05-03,화,LG,두산,잠실,18:30,10124
2022-05-04,수,LG,두산,잠실,18:30,14480
2022-05-05,목,LG,두산,잠실,14:00,24012
2022-05-06,금,두산,KT,잠실,18:30,8709
2022-05-07,토,두산,KT,잠실,17:00,10546
2022-05-08,일,두산,KT,잠실,14:00,7124
2022-05-10,화,LG,한화,잠실,18:30,7270
2022-05-11,수,LG,한화,잠실,18:30,8064
2022-05-12,목,LG,한화,잠실,18:30,8620
2022-05-13,금,LG,KIA,잠실,18:30,19411
2022-05-14,토,LG,KIA,잠실,17:00,24132
2022-05-15,일,LG,KIA,잠실,14:00,23097
2022-05-17,화,두산,SSG,잠실,18:30,5743
2022-05-18,수,두산,SSG,잠실,18:30,5586
2022-05-19,목,두산,SSG,잠실,18:30,7360
2022-05-20,금,두산,롯데,잠실,18:30,15486
2022-05-21,토,두산,롯데,잠실,14:00,20588
2022-05-22,일,두산,롯데,잠실,14:00,19143
2022-05-24,화,LG,키움,잠실,18:30,6074
2022-05-25,수,LG,키움,잠실,18:30,6937
2022-05-26,목,LG,키움,잠실,18:30,6655
2022-05-27,금,LG,삼성,잠실,18:30,13775
2022-05-28,토,LG,삼성,잠실,17:00,21100
2022-05-29,일,LG,삼성,잠실,14:00,17435
2022-05-31,화,두산,KIA,잠실,18:30,18194
2022-06-01,수,두산,KIA,잠실,17:00,23244
2022-06-02,목,두산,KIA,잠실,18:30,11029
2022-06-03,금,LG,SSG,잠실,18:30,9487
2022-06-04,토,LG,SSG,잠실,17:00,16345
2022-06-05,일,LG,SSG,잠실,17:00,14964
2022-06-07,화,두산,한화,잠실,18:30,4702
2022-06-08,수,두산,한화,잠실,18:30,4882
2022-06-09,목,두산,한화,잠실,18:30,6612
2022-06-10,금,LG,두산,잠실,18:30,11791
2022-06-11,토,LG,두산,잠실,17:00,19035
2022-06-12,일,LG,두산,잠실,17:00,15235
2022-06-14,화,LG,삼성,잠실,18:30,6824
2022-06-15,수,LG,삼성,잠실,18:30,6328
2022-06-16,목,LG,삼성,잠실,18:30,8976
2022-06-17,금,두산,KT,잠실,18:30,4898
2022-06-18,토,두산,KT,잠실,17:00,9033
2022-06-19,일,두산,KT,잠실,17:00,6966
2022-06-21,화,LG,한화,잠실,18:30,7317
2022-06-22,수,LG,한화,잠실,18:30,8200
2022-06-24,금,두산,KIA,잠실,18:30,14470
2022-06-25,토,두산,KIA,잠실,17:00,22093
2022-06-26,일,두산,KIA,잠실,17:00,16298
2022-06-28,화,LG,NC,잠실,18:30,3361
2022-07-01,금,LG,롯데,잠실,18:30,12224
2022-07-02,토,LG,롯데,잠실,18:00,18750
2022-07-03,일,LG,롯데,잠실,17:00,23750
2022-07-05,화,두산,키움,잠실,18:30,4265
2022-07-06,수,두산,키움,잠실,18:30,2930
2022-07-07,목,두산,키움,잠실,18:30,3781
2022-07-08,금,두산,LG,잠실,18:30,9875
2022-07-09,토,두산,LG,잠실,18:00,16032
2022-07-10,일,두산,LG,잠실,17:00,10980
2022-07-12,화,LG,KIA,잠실,18:30,14517
2022-07-14,목,LG,KIA,잠실,18:30,14590
2022-07-22,금,두산,SSG,잠실,18:30,6223
2022-07-24,일,두산,SSG,잠실,17:00,6216
2022-07-26,화,두산,롯데,잠실,18:30,5857
2022-07-27,수,두산,롯데,잠실,18:30,5115
2022-07-28,목,두산,롯데,잠실,18:30,9820
2022-07-29,금,LG,KT,잠실,18:30,9114
2022-07-30,토,LG,KT,잠실,18:00,10589
2022-08-03,수,두산,삼성,잠실,18:30,6125
2022-08-04,목,두산,삼성,잠실,18:30,7429
2022-08-05,금,LG,키움,잠실,18:30,10811
2022-08-06,토,LG,키움,잠실,18:00,11357
2022-08-07,일,LG,키움,잠실,17:00,10396
2022-08-10,수,두산,NC,잠실,18:30,2672
2022-08-11,목,두산,NC,잠실,18:30,2005
2022-08-12,금,두산,NC,잠실,18:30,3679
2022-08-13,토,두산,SSG,잠실,18:00,6659
2022-08-14,일,두산,SSG,잠실,17:00,6973
2022-08-16,화,LG,삼성,잠실,18:30,9671
2022-08-17,수,LG,삼성,잠실,18:30,9180
2022-08-18,목,두산,키움,잠실,18:30,3517
2022-08-20,토,LG,두산,잠실,18:00,17504
2022-08-21,일,LG,두산,잠실,17:00,14441
2022-08-23,화,두산,KT,잠실,18:30,3059
2022-08-24,수,두산,KT,잠실,18:30,2827
2022-08-25,목,LG,KIA,잠실,18:30,14262
2022-08-26,금,LG,KIA,잠실,18:30,18154
2022-08-27,토,LG,키움,잠실,18:30,15250
2022-08-28,일,LG,키움,잠실,17:00,12917
2022-08-31,수,LG,NC,잠실,18:30,8553
2022-09-01,목,두산,롯데,잠실,18:30,6219
2022-09-02,금,두산,롯데,잠실,18:30,8100
2022-09-03,토,두산,삼성,잠실,17:00,13113
2022-09-06,화,LG,SSG,잠실,18:30,12917
2022-09-07,수,LG,SSG,잠실,18:30,15185
2022-09-08,목,두산,한화,잠실,18:30,4757
2022-09-09,금,두산,한화,잠실,14:00,5691
2022-09-10,토,두산,KIA,잠실,14:00,13433
2022-09-11,일,두산,KIA,잠실,14:00,20681
2022-09-13,화,두산,LG,잠실,18:30,6803
2022-09-14,수,두산,LG,잠실,18:30,7098
2022-09-15,목,LG,KT,잠실,18:30,9614
2022-09-17,토,LG,한화,잠실,17:00,20104
2022-09-18,일,LG,한화,잠실,14:00,16798
2022-09-20,화,두산,NC,잠실,18:30,7386
2022-09-21,수,두산,NC,잠실,18:30,4683
2022-09-22,목,LG,롯데,잠실,18:30,18034
2022-09-23,금,LG,롯데,잠실,18:30,19377
2022-09-24,토,LG,한화,잠실,17:00,16775
2022-09-25,일,두산,한화,잠실,14:00,9590
2022-09-29,목,LG,KT,잠실,18:30,10859
2022-09-30,금,LG,NC,잠실,18:30,11076
2022-10-01,토,LG,NC,잠실,17:00,17282
2022-10-02,일,LG,NC,잠실,14:00,15711
2022-10-04,화,LG,KIA,잠실,18:30,13385
2022-10-05,수,두산,SSG,잠실,18:30,9474
2022-10-06,목,두산,삼성,잠실,18:30,7350
2022-10-07,금,두산,삼성,잠실,18:30,11681
2022-10-08,토,두산,키움,잠실,17:00,23511
2022-10-11,화,LG,KT,잠실,18:30,10092
